userid,questionid,response
34,32,3
35,17,1
35,18,1
35,29,1
35,30,1
35,16,2
35,8,2
35,33,4
35,13,2
35,9,4
38,17,4
38,18,3
38,36,4
38,35,4
38,29,2
38,30,1
38,16,4
38,33,3
38,8,1
38,20,3
38,13,2
38,15,1
38,7,3
38,14,1
38,25,2
38,9,4
38,23,1
38,27,4
38,11,3
38,24,2
38,12,2
38,10,4
38,19,1
38,21,4
38,31,3
38,34,2
38,32,3
39,17,3
39,37,3
39,41,3
39,9,1
39,27,1
15,32,4
15,42,3
15,17,1
15,37,1
15,39,2
15,38,3
15,41,4
15,43,2
15,46,3
15,48,2
15,18,4
15,35,1
15,20,2
15,30,2
15,34,1
15,19,1
15,23,4
15,47,1
40,17,1
40,37,1
40,38,3
40,39,1
40,40,1
40,41,3
40,42,1
40,43,2
40,45,1
40,46,3
40,47,1
40,48,2
40,44,2
40,18,1
40,36,3
40,30,2
40,24,2
40,25,2
40,8,2
40,7,2
40,11,3
40,16,1
40,33,4
40,15,1
40,13,2
40,23,1
40,14,3
39,50,2
39,35,1
42,46,1
42,38,1
42,29,1
42,34,1
42,31,2
42,11,3
42,17,3
43,17,1
43,18,3
44,50,2
44,17,1
44,49,2
44,37,1
44,38,3
44,39,1
44,40,4
44,41,3
44,42,3
44,43,2
44,45,1
44,46,3
44,47,1
44,48,2
44,44,3
44,18,1
44,36,2
44,35,2
44,29,1
44,30,1
44,16,2
44,33,2
44,8,4
44,20,1
44,13,3
44,15,4
44,7,2
44,14,2
44,25,2
44,9,1
44,23,1
44,27,1
44,11,3
44,24,2
44,12,3
44,10,2
44,19,1
44,21,3
44,31,3
44,34,1
44,32,1
22,38,4
45,37,1
45,50,1
45,17,2
45,49,2
45,54,2
45,38,1
45,39,3
45,40,1
45,41,3
45,42,2
45,43,2
45,45,1
45,46,3
45,34,1
45,31,4
45,32,4
45,21,3
45,19,4
45,10,2
45,12,2
45,24,3
45,11,1
45,27,1
45,23,3
45,9,1
45,25,4
45,14,3
45,7,3
45,13,1
45,15,3
45,8,1
45,20,1
45,33,1
45,16,2
46,54,1
46,50,1
46,17,1
46,49,1
46,37,1
46,39,1
46,41,3
46,46,1
46,48,2
46,56,2
46,25,2
46,31,1
46,9,1
46,38,3
46,44,4
46,40,3
46,33,1
46,20,1
46,24,2
46,34,2
46,32,1
46,36,4
46,10,1
46,35,2
46,15,4
46,16,3
47,50,2
47,54,1
47,40,1
47,42,2
47,45,1
47,43,2
47,47,1
47,53,4
47,19,4
47,17,3
47,49,2
47,38,1
47,39,2
47,56,4
47,48,2
48,50,2
47,41,3
48,17,1
47,18,2
48,49,3
48,54,4
48,37,1
48,38,1
48,39,1
48,40,3
48,41,3
48,42,1
47,44,1
48,43,2
47,57,2
48,45,1
48,46,1
47,29,1
48,47,4
47,51,1
48,48,3
47,20,3
48,44,3
48,52,1
47,31,3
47,10,1
48,55,4
48,56,3
48,59,1
48,18,4
48,36,4
48,57,4
48,58,3
48,35,2
48,53,2
48,29,2
48,30,2
48,51,1
48,16,1
48,33,1
48,8,4
48,20,3
48,13,3
48,15,2
48,7,3
48,14,3
48,25,2
48,9,1
48,23,2
48,27,1
48,11,3
48,24,3
48,12,1
48,10,4
48,19,2
48,21,1
48,31,3
48,34,1
48,32,3
49,50,2
49,54,2
49,37,2
49,17,1
49,40,4
49,9,2
49,8,1
52,50,2
52,17,1
52,49,2
52,54,1
52,37,1
52,38,3
52,39,3
52,40,1
52,41,3
52,42,1
52,43,2
52,45,2
52,46,3
52,47,1
17,17,1
17,50,2
17,49,2
17,54,1
17,45,1
17,38,4
17,39,1
17,48,4
17,33,1
17,53,1
17,37,4
17,40,1
52,32,2
17,46,3
52,34,2
17,58,4
52,31,1
52,21,1
17,16,3
17,19,3
52,19,4
17,25,2
52,10,4
17,57,4
17,27,1
52,24,1
17,24,4
52,12,3
52,11,2
52,27,4
52,23,4
52,9,1
52,25,4
52,14,3
52,15,4
52,8,4
52,16,3
52,35,2
52,48,3
53,17,1
53,54,3
53,49,4
53,37,2
53,38,3
53,41,4
53,42,1
53,50,1
53,55,4
53,32,4
53,33,4
53,34,2
53,45,2
53,58,1
53,52,3
53,39,3
53,40,1
53,35,2
53,56,1
29,54,2
29,40,4
29,47,1
29,36,2
29,9,2
55,50,2
55,61,2
55,17,1
55,49,2
55,62,3
55,54,4
55,37,1
55,38,3
55,39,3
55,40,3
55,43,2
55,41,4
55,42,3
55,45,1
55,46,1
55,47,1
55,48,1
55,44,4
55,55,4
55,59,2
55,56,2
55,18,4
55,57,2
55,36,3
55,53,2
55,60,4
55,35,1
55,29,2
29,50,2
29,61,3
29,49,2
29,62,4
29,37,1
29,38,4
29,39,1
29,41,3
29,42,2
29,43,2
29,45,1
29,46,2
29,48,2
29,44,3
29,52,4
29,55,3
29,56,1
29,59,1
29,18,4
29,58,2
29,60,2
29,57,2
29,35,4
29,53,2
29,29,2
29,16,2
29,15,1
29,30,2
29,51,4
29,33,2
29,13,1
29,7,2
29,14,1
29,11,4
29,24,2
29,12,1
29,10,4
29,21,1
29,34,1
29,32,4
29,63,2
29,64,1
56,61,3
56,49,1
56,17,4
56,54,1
56,37,4
56,40,4
56,47,2
56,32,4
56,46,1
56,44,2
56,41,3
56,55,1
56,18,2
57,17,4
57,49,1
57,38,1
57,62,2
57,45,1
57,43,2
57,42,3
57,15,3
57,13,4
57,50,2
58,50,2
58,61,1
58,17,1
58,49,2
58,62,1
58,54,4
58,37,1
58,38,3
58,39,1
58,40,4
58,41,3
58,42,3
58,45,1
58,46,3
58,47,3
58,48,4
58,44,1
58,52,1
58,55,2
58,56,2
58,18,3
58,57,2
58,60,4
57,61,1
57,54,4
57,39,1
57,40,1
57,41,3
57,47,3
57,48,3
57,36,1
57,46,1
57,57,3
57,44,4
57,59,3
57,56,2
57,34,1
57,33,1
57,30,4
57,23,1
57,58,2
57,18,1
57,65,1
57,64,2
57,60,2
57,16,2
57,9,1
57,14,3
57,24,2
59,61,2
59,45,2
59,42,1
59,40,1
59,24,2
60,61,3
60,17,4
60,49,2
60,62,1
60,54,3
60,37,1
60,38,3
60,39,1
60,40,1
60,41,3
60,42,2
60,43,3
60,45,1
60,46,3
60,47,4
60,48,3
60,44,3
60,52,1
60,55,2
60,56,2
60,59,1
60,18,4
60,36,3
60,57,1
60,58,2
60,60,1
60,35,2
60,53,4
60,29,2
60,30,2
60,51,1
60,65,2
60,66,3
60,16,2
60,33,1
60,8,3
60,20,1
60,63,4
60,64,3
60,13,4
60,15,4
60,7,1
60,14,4
60,25,2
60,9,1
60,23,2
60,27,1
60,11,3
60,24,3
60,12,3
60,10,1
60,19,1
60,21,1
60,31,4
60,34,1
60,32,1
61,66,1
61,64,1
61,35,2
62,68,3
62,50,3
62,61,2
62,37,1
62,48,3
62,62,1
62,43,2
62,55,1
62,54,3
62,36,4
62,56,3
62,18,4
62,20,1
62,66,2
62,19,1
64,50,2
64,39,1
64,54,4
64,37,4
64,61,3
64,48,1
64,38,1
64,47,2
64,19,3
64,25,2
12,49,2
count(*)
65
CREATE TABLE users (
        userid INTEGER PRIMARY KEY AUTOINCREMENT,
        username TEXT NOT NULL,
        password TEXT NOT NULL
    );
CREATE TABLE sqlite_sequence(name,seq);
CREATE TABLE polls (
        questionid INTEGER PRIMARY KEY AUTOINCREMENT,
        authorid INTEGER NOT NULL,
        question TEXT NOT NULL,
        description TEXT,
        start_time TEXT,
        response1 TEXT,
        response2 TEXT,
        response3 TEXT,
        response4 TEXT,
        FOREIGN KEY (authorid) REFERENCES users(userid)
    );
CREATE TABLE responses (
        userid INTEGER NOT NULL,
        questionid INTEGER NOT NULL,
        response INTEGER,
        PRIMARY KEY (userid, questionid),
        FOREIGN KEY (userid) REFERENCES users(userid),
        FOREIGN KEY (questionid) REFERENCES polls(questionid)
    );
